  -1.2450764e-15   4.8225309e-01   7.7357552e-01   9.7435906e-01   1.1242979e+00   1.2410679e+00   1.3331730e+00   1.4047839e+00   1.4578335e+00   1.4930745e+00   1.5106949e+00
   4.8225309e-01   6.7318374e-01   8.6411440e-01   1.0252038e+00   1.1574668e+00   1.2657327e+00   1.3536671e+00   1.4233453e+00   1.4756422e+00   1.5106949e+00   1.5283154e+00
   7.7357552e-01   8.6411440e-01   9.8449458e-01   1.1048748e+00   1.2146329e+00   1.3107291e+00   1.3924174e+00   1.4592881e+00   1.5106949e+00   1.5457477e+00   1.5635563e+00
   9.7435906e-01   1.0252038e+00   1.1048748e+00   1.1951678e+00   1.2854609e+00   1.3701333e+00   1.4459851e+00   1.5106949e+00   1.5621017e+00   1.5980445e+00   1.6166059e+00
   1.1242979e+00   1.1574668e+00   1.2146329e+00   1.2854609e+00   1.3619095e+00   1.4383582e+00   1.5106949e+00   1.5754047e+00   1.6289725e+00   1.6677227e+00   1.6882169e+00
   1.2410679e+00   1.2657327e+00   1.3107291e+00   1.3701333e+00   1.4383582e+00   1.5106949e+00   1.5830317e+00   1.6512565e+00   1.7106608e+00   1.7556571e+00   1.7803220e+00
   1.3331730e+00   1.3536671e+00   1.3924174e+00   1.4459851e+00   1.5106949e+00   1.5830317e+00   1.6594803e+00   1.7359290e+00   1.8067570e+00   1.8639230e+00   1.8970919e+00
   1.4047839e+00   1.4233453e+00   1.4592881e+00   1.5106949e+00   1.5754047e+00   1.6512565e+00   1.7359290e+00   1.8262220e+00   1.9165151e+00   1.9961861e+00   2.0470308e+00
   1.4578335e+00   1.4756422e+00   1.5106949e+00   1.5621017e+00   1.6289725e+00   1.7106608e+00   1.8067570e+00   1.9165151e+00   2.0368953e+00   2.1572754e+00   2.2478143e+00
   1.4930745e+00   1.5106949e+00   1.5457477e+00   1.5980445e+00   1.6677227e+00   1.7556571e+00   1.8639230e+00   1.9961861e+00   2.1572754e+00   2.3482061e+00   2.5391367e+00
   1.5106949e+00   1.5283154e+00   1.5635563e+00   1.6166059e+00   1.6882169e+00   1.7803220e+00   1.8970919e+00   2.0470308e+00   2.2478143e+00   2.5391367e+00   3.0213898e+00
