  -6.4048701e-15   2.8935185e-01   5.3314121e-01   6.6095609e-01   7.3507984e-01   7.8685311e-01   8.2585757e-01   8.5587149e-01   8.7854223e-01   8.9455640e-01   9.0414144e-01   9.0633782e-01   9.0653750e-01
   2.8935185e-01   3.5625224e-01   5.4022832e-01   6.6263394e-01   7.3577829e-01   7.8725214e-01   8.2613852e-01   8.5610096e-01   8.7875025e-01   8.9475731e-01   9.0434113e-01   9.0653750e-01   9.0673717e-01
   5.3314121e-01   5.4022832e-01   5.9715123e-01   6.7994819e-01   7.4328597e-01   7.9159466e-01   8.2921186e-01   8.5861743e-01   8.8103475e-01   8.9696580e-01   9.0653750e-01   9.0873386e-01   9.0893355e-01
   6.6095609e-01   6.6263394e-01   6.7994819e-01   7.2459174e-01   7.6923529e-01   8.0860256e-01   8.4189377e-01   8.6926601e-01   8.9084394e-01   9.0653750e-01   9.1610919e-01   9.1831768e-01   9.1851859e-01
   7.3507984e-01   7.3577829e-01   7.4328597e-01   7.6923529e-01   8.0046091e-01   8.3168652e-01   8.6049465e-01   8.8570891e-01   9.0653750e-01   9.2223105e-01   9.3204024e-01   9.3432474e-01   9.3453276e-01
   7.8685311e-01   7.8725214e-01   7.9159466e-01   8.0860256e-01   8.3168652e-01   8.5718796e-01   8.8268940e-01   9.0653750e-01   9.2736608e-01   9.4380898e-01   9.5445756e-01   9.5697403e-01   9.5720351e-01
   8.2585757e-01   8.2613852e-01   8.2921186e-01   8.4189377e-01   8.6049465e-01   8.8268940e-01   9.0653750e-01   9.3038559e-01   9.5258034e-01   9.7118122e-01   9.8386314e-01   9.8693647e-01   9.8721742e-01
   8.5587149e-01   8.5610096e-01   8.5861743e-01   8.6926601e-01   8.8570891e-01   9.0653750e-01   9.3038559e-01   9.5588703e-01   9.8138847e-01   1.0044724e+00   1.0214803e+00   1.0258229e+00   1.0262219e+00
   8.7854223e-01   8.7875025e-01   8.8103475e-01   8.9084394e-01   9.0653750e-01   9.2736608e-01   9.5258034e-01   9.8138847e-01   1.0126141e+00   1.0438397e+00   1.0697890e+00   1.0772967e+00   1.0779952e+00
   8.9455640e-01   8.9475731e-01   8.9696580e-01   9.0653750e-01   9.2223105e-01   9.4380898e-01   9.7118122e-01   1.0044724e+00   1.0438397e+00   1.0884832e+00   1.1331268e+00   1.1504411e+00   1.1521189e+00
   9.0414144e-01   9.0434113e-01   9.0653750e-01   9.1610919e-01   9.3204024e-01   9.5445756e-01   9.8386314e-01   1.0214803e+00   1.0697890e+00   1.1331268e+00   1.2159238e+00   1.2728467e+00   1.2799338e+00
   9.0633782e-01   9.0653750e-01   9.0873386e-01   9.1831768e-01   9.3432474e-01   9.5697403e-01   9.8693647e-01   1.0258229e+00   1.0772967e+00   1.1504411e+00   1.2728467e+00   1.4568227e+00   1.5237231e+00
   9.0653750e-01   9.0673717e-01   9.0893355e-01   9.1851859e-01   9.3453276e-01   9.5720351e-01   9.8721742e-01   1.0262219e+00   1.0779952e+00   1.1521189e+00   1.2799338e+00   1.5237231e+00   1.8130750e+00
