r,dp
2.236067977499789805e+00,1.540831973305728297e+00
3.162277660168379523e+00,1.762534415507957419e+00
4.123105625617660586e+00,1.929663948860479650e+00
5.099019513592784492e+00,2.066096220984945830e+00
6.082762530298219339e+00,2.178652845487647483e+00
7.071067811865475505e+00,2.274155435974819284e+00
8.062257748298549132e+00,2.359425606052582225e+00
9.055385138137417300e+00,2.431052548917875811e+00
1.004987562112088995e+01,2.499268684980165744e+00
1.104536101718726115e+01,2.560663207436164157e+00
1.204159457879229578e+01,2.615236116285927892e+00
1.303840481040529831e+01,2.662987411529570636e+00
1.403566884761819900e+01,2.710738706773099693e+00
1.503329637837290811e+01,2.755079195213511412e+00
1.603121954188139853e+01,2.796008876850862634e+00
1.702938636592640265e+01,2.833527751685096518e+00
1.802775637731994607e+01,2.867635819716213064e+00
1.902629759044044633e+01,2.901743887747329609e+00
2.002498439450078749e+01,2.932441148975328815e+00
2.102379604162863913e+01,2.963138410203328021e+00
2.202271554554523902e+01,2.990424864628266732e+00
2.302172886644267535e+01,3.017711319053148600e+00
2.402082429892862692e+01,3.044997773478030467e+00
2.236067977499789805e+00,1.540831973305728297e+00
2.828427124746190291e+00,1.694318279445781172e+00
3.605551275463989125e+00,1.847804585585777204e+00
4.472135954999579610e+00,1.984236857710243385e+00
5.385164807134503739e+00,2.103615095819179714e+00
6.324555320336759046e+00,2.205939299912586193e+00
7.280109889280518054e+00,2.294620276793466473e+00
8.246211251235321171e+00,2.373068833264994737e+00
9.219544457292887074e+00,2.444695776130345166e+00
1.019803902718556898e+01,2.509501105389517761e+00
1.118033988749894903e+01,2.567484821042398835e+00
1.216552506059643868e+01,2.622057729892219413e+00
1.315294643796590535e+01,2.669809025135748470e+00
1.414213562373095101e+01,2.717560320379277528e+00
1.513274595042155646e+01,2.758490002016628750e+00
1.612451549659709826e+01,2.799419683653979973e+00
1.711724276862369010e+01,2.836938558488213857e+00
1.811077027627483460e+01,2.871046626519330403e+00
1.910497317454279909e+01,2.905154694550503791e+00
2.009975124224177989e+01,2.935851955778446154e+00
2.109502310972898798e+01,2.966549217006502204e+00
2.209072203437452231e+01,2.993835671431384071e+00
2.308679276123039159e+01,3.021122125856209095e+00
2.408318915758459156e+01,3.044997773478030467e+00
3.162277660168379523e+00,1.762534415507957419e+00
3.605551275463989125e+00,1.847804585585777204e+00
4.242640687119284770e+00,1.953539596482244178e+00
5.000000000000000000e+00,2.055863800575593814e+00
5.830951894845300743e+00,2.154777197865882954e+00
6.708203932499369415e+00,2.243458174746763234e+00
7.615773105863908654e+00,2.321906731218291497e+00
8.544003745317530374e+00,2.396944480886816109e+00
9.486832980505138124e+00,2.461749810145875017e+00
1.044030650891055068e+01,2.523144332601930273e+00
1.140175425099137918e+01,2.581128048254868190e+00
1.236931687685298087e+01,2.632290150301514586e+00
1.334166406412633421e+01,2.680041445545100487e+00
1.431782106327635340e+01,2.724381933985512205e+00
1.529705854077835525e+01,2.765311615622863428e+00
1.627882059609970611e+01,2.806241297260157808e+00
1.726267650163206824e+01,2.840349365291331196e+00
1.824828759089465890e+01,2.877868240125565080e+00
1.923538406167134340e+01,2.908565501353507443e+00
2.022374841615668473e+01,2.939262762581563493e+00
2.121320343559642652e+01,2.969960023809562699e+00
2.220360331117451835e+01,2.997246478234444567e+00
2.319482700948640286e+01,3.024532932659383277e+00
2.418677324489564739e+01,3.048408580281147806e+00
4.123105625617660586e+00,1.929663948860479650e+00
4.472135954999579610e+00,1.984236857710243385e+00
5.000000000000000000e+00,2.055863800575593814e+00
5.656854249492380582e+00,2.134312357047178921e+00
6.403124237432848531e+00,2.212760913518764028e+00
7.211102550927978250e+00,2.287798663187174952e+00
8.062257748298549132e+00,2.359425606052582225e+00
8.944271909999159220e+00,2.424230935311697976e+00
9.848857801796103928e+00,2.485625457767696389e+00
1.077032961426900748e+01,2.543609173420577463e+00
1.170469991071962568e+01,2.598182082270398041e+00
1.264911064067351809e+01,2.645933377513983942e+00
1.360147050873544394e+01,2.690273865954452504e+00
1.456021977856103611e+01,2.734614354394807378e+00
1.552417469626002422e+01,2.775544036032215445e+00
1.649242250247064234e+01,2.813062910866449329e+00
1.746424919657297892e+01,2.850581785700626369e+00
1.843908891458577415e+01,2.884689853731799758e+00
1.941648783894759944e+01,2.915387114959798964e+00
2.039607805437113797e+01,2.946084376187798171e+00
2.137755832643194864e+01,2.976781637415797377e+00
2.236067977499789805e+01,3.004068091840679244e+00
2.334523505985750447e+01,3.027943739462500616e+00
2.433105012119287736e+01,3.055230193887382484e+00
5.099019513592784492e+00,2.066096220984945830e+00
5.385164807134503739e+00,2.103615095819179714e+00
5.830951894845300743e+00,2.154777197865882954e+00
6.403124237432848531e+00,2.212760913518764028e+00
7.071067811865475505e+00,2.277566242777879779e+00
7.810249675906653977e+00,2.338960765233878192e+00
8.602325267042626677e+00,2.400355287689876604e+00
9.433981132056603158e+00,2.458339003342814522e+00
1.029563014098700080e+01,2.516322718995695595e+00
1.118033988749894903e+01,2.567484821042398835e+00
1.208304597359457233e+01,2.618646923089102074e+00
1.300000000000000000e+01,2.662987411529570636e+00
1.392838827718411920e+01,2.707327899969982354e+00
1.486606874731850603e+01,2.748257581607333577e+00
1.581138830084189628e+01,2.789187263244627957e+00
1.676305461424021104e+01,2.823295331275744502e+00
1.772004514666934938e+01,2.860814206110035229e+00
1.868154169226940553e+01,2.891511467337977592e+00
1.964688270438849926e+01,2.925619535369150981e+00
2.061552812808830382e+01,2.952905989793976005e+00
2.158703314492290204e+01,2.983603251022032055e+00
2.256102834535695578e+01,3.010889705446913922e+00
2.353720459187963954e+01,3.034765353068735294e+00
2.451530134426252516e+01,3.058641000690499823e+00
6.082762530298219339e+00,2.178652845487647483e+00
6.324555320336759046e+00,2.205939299912586193e+00
6.708203932499369415e+00,2.243458174746763234e+00
7.211102550927978250e+00,2.287798663187174952e+00
7.810249675906653977e+00,2.338960765233878192e+00
8.485281374238569541e+00,2.393533674083698770e+00
9.219544457292887074e+00,2.444695776130345166e+00
1.000000000000000000e+01,2.495857878176991562e+00
1.081665382639196871e+01,2.547019980223694802e+00
1.166190378969060149e+01,2.594771275467280702e+00
1.252996408614166768e+01,2.639111763907749264e+00
1.341640786499873883e+01,2.683452252348217826e+00
1.431782106327635340e+01,2.724381933985512205e+00
1.523154621172781731e+01,2.765311615622863428e+00
1.615549442140351033e+01,2.802830490457097312e+00
1.708800749063506075e+01,2.836938558488213857e+00
1.802775637731994607e+01,2.871046626519330403e+00
1.897366596101027625e+01,2.901743887747329609e+00
1.992485884517127559e+01,2.932441148975328815e+00
2.088061301782110135e+01,2.963138410203328021e+00
2.184032966784155505e+01,2.990424864628266732e+00
2.280350850198275836e+01,3.017711319053148600e+00
2.376972864800942631e+01,3.041586966674913128e+00
2.473863375370596174e+01,3.065462614296677657e+00
7.071067811865475505e+00,2.274155435974819284e+00
7.280109889280518054e+00,2.294620276793466473e+00
7.615773105863908654e+00,2.321906731218291497e+00
8.062257748298549132e+00,2.359425606052582225e+00
8.602325267042626677e+00,2.400355287689876604e+00
9.219544457292887074e+00,2.444695776130345166e+00
9.899494936611665352e+00,2.492447071373931067e+00
1.063014581273464998e+01,2.536787559814399629e+00
1.140175425099137918e+01,2.581128048254868190e+00
1.220655561573370207e+01,2.625468536695223065e+00
1.303840481040529831e+01,2.666398218332631131e+00
1.389244398944980396e+01,2.707327899969982354e+00
1.476482306023340030e+01,2.744846774804159395e+00
1.565247584249852864e+01,2.782365649638450122e+00
1.655294535724684835e+01,2.816473717669566668e+00
1.746424919657297892e+01,2.850581785700626369e+00
