r,dp
1.000000000000000056e-01,-4.641500272569634156e-01
2.000000000000000111e-01,-2.355888643704107110e-02
2.999999999999999889e-01,2.341704090925676995e-01
4.000000000000000222e-01,4.170322543828813844e-01
5.000000000000000000e-01,5.588709209712886539e-01
5.999999999999999778e-01,6.747615499124903771e-01
6.999999999999999556e-01,7.727456805388207561e-01
8.000000000000000444e-01,8.576233952028038399e-01
9.000000000000000222e-01,9.324908454420992587e-01
1.000000000000000000e+00,9.994620617912111094e-01
1.100000000000000089e+00,1.060044896186954189e+00
1.199999999999999956e+00,1.115352690732412722e+00
1.300000000000000044e+00,1.166230929694172636e+00
1.399999999999999911e+00,1.213336821358743212e+00
1.500000000000000000e+00,1.257191357320819991e+00
1.600000000000000089e+00,1.298214536022726406e+00
1.699999999999999956e+00,1.336749889028565175e+00
1.800000000000000044e+00,1.373081986262021825e+00
1.899999999999999911e+00,1.407449202011482381e+00
2.000000000000000000e+00,1.440053202611133454e+00
2.100000000000000089e+00,1.471066116888352315e+00
2.200000000000000178e+00,1.500636037006876755e+00
2.299999999999999822e+00,1.528891295531795702e+00
2.399999999999999911e+00,1.555943831552335288e+00
2.500000000000000000e+00,1.581891869199540945e+00
2.600000000000000089e+00,1.606822070514095202e+00
2.700000000000000178e+00,1.630811281791630707e+00
2.799999999999999822e+00,1.653927962178665556e+00
2.899999999999999911e+00,1.676233361467795557e+00
3.000000000000000000e+00,1.697782498140742558e+00
3.100000000000000089e+00,1.718624976982240593e+00
3.200000000000000178e+00,1.738805676842648751e+00
3.299999999999999822e+00,1.758365332536485637e+00
3.399999999999999911e+00,1.777341029848487519e+00
3.500000000000000000e+00,1.795766628767073048e+00
3.600000000000000089e+00,1.813673127081944170e+00
3.700000000000000178e+00,1.831088974153680216e+00
3.799999999999999822e+00,1.848040342831404725e+00
3.899999999999999911e+00,1.864551366043703862e+00
4.000000000000000000e+00,1.880644343431056020e+00
4.099999999999999645e+00,1.896339922459780336e+00
4.200000000000000178e+00,1.911657257708274660e+00
4.299999999999999822e+00,1.926614151408170716e+00
4.400000000000000355e+00,1.941227177826799100e+00
4.500000000000000000e+00,1.955511793670351661e+00
4.599999999999999645e+00,1.969482436351718047e+00
4.700000000000000178e+00,1.983152611689309897e+00
4.799999999999999822e+00,1.996534972372257855e+00
4.900000000000000355e+00,2.009641388334605150e+00
5.000000000000000000e+00,2.022483010019463290e+00
5.099999999999999645e+00,2.035070325378096623e+00
5.200000000000000178e+00,2.047413211334017547e+00
5.299999999999999822e+00,2.059520980344805352e+00
5.400000000000000355e+00,2.071402422611553273e+00
5.500000000000000000e+00,2.083065844415206591e+00
5.599999999999999645e+00,2.094519102998588345e+00
5.700000000000000178e+00,2.105769638361013829e+00
5.799999999999999822e+00,2.116824502287718346e+00
5.900000000000000355e+00,2.127690384897757525e+00
