r,dp
2.236067977499789805e+00,1.521933392025109910e+00
3.162277660168379523e+00,1.737966322943107933e+00
4.123105625617660586e+00,1.902737931444526520e+00
2.236067977499789805e+00,1.521933392025109910e+00
2.828427124746190291e+00,1.674203916080171606e+00
3.605551275463989125e+00,1.826474440135232857e+00
4.472135954999579610e+00,1.960748592471171392e+00
3.162277660168379523e+00,1.737966322943107933e+00
3.605551275463989125e+00,1.826474440135232857e+00
4.242640687119284770e+00,1.932978997262616350e+00
5.000000000000000000e+00,2.039483520281931916e+00
4.123105625617660586e+00,1.902737931444526520e+00
4.472135954999579610e+00,1.960748592471171392e+00
5.000000000000000000e+00,2.039483520281931916e+00
5.656854249492380582e+00,2.126464005323079220e+00
