r,dp
1.000000000000000056e-01,-4.694557278134869893e-01
2.000000000000000111e-01,-2.318123793257953480e-02
2.999999999999999889e-01,2.378726036762145446e-01
4.000000000000000222e-01,4.230932519483282528e-01
5.000000000000000000e-01,5.667615482725183451e-01
5.999999999999999778e-01,6.841470935571223322e-01
6.999999999999999556e-01,7.833951579424254241e-01
8.000000000000000444e-01,8.693677418292359294e-01
9.000000000000000222e-01,9.452009351659164116e-01
1.000000000000000000e+00,1.013036038153426022e+00
1.100000000000000089e+00,1.074400353071755632e+00
1.199999999999999956e+00,1.130421583438030009e+00
1.300000000000000044e+00,1.181956119734978605e+00
1.399999999999999911e+00,1.229669647823333101e+00
1.500000000000000000e+00,1.274089879762219990e+00
1.600000000000000089e+00,1.315642231710143717e+00
1.699999999999999956e+00,1.354674666572673658e+00
1.800000000000000044e+00,1.391475425046824199e+00
1.899999999999999911e+00,1.426285956299621738e+00
2.000000000000000000e+00,1.459310528034333698e+00
2.100000000000000089e+00,1.490723489432127291e+00
2.200000000000000178e+00,1.520674842952663308e+00
2.299999999999999822e+00,1.549294576570537263e+00
2.399999999999999911e+00,1.576696073318937685e+00
2.500000000000000000e+00,1.602978824358523902e+00
2.600000000000000089e+00,1.628230609615886282e+00
2.700000000000000178e+00,1.652529266655618390e+00
2.799999999999999822e+00,1.675944137704240777e+00
2.899999999999999911e+00,1.698537262638214251e+00
3.000000000000000000e+00,1.720364369643127889e+00
3.100000000000000089e+00,1.741475703374290696e+00
3.200000000000000178e+00,1.761916721591051394e+00
3.299999999999999822e+00,1.781728684561457277e+00
3.399999999999999911e+00,1.800949156453581335e+00
3.500000000000000000e+00,1.819612434028431203e+00
3.600000000000000089e+00,1.837749914927731876e+00
3.700000000000000178e+00,1.855390415490950407e+00
3.799999999999999822e+00,1.872560446180529414e+00
3.899999999999999911e+00,1.889284451224680250e+00
4.000000000000000000e+00,1.905585017915241375e+00
4.099999999999999645e+00,1.921483060057882497e+00
4.200000000000000178e+00,1.936997979313034968e+00
4.299999999999999822e+00,1.952147807549940328e+00
4.400000000000000355e+00,1.966949332833570985e+00
4.500000000000000000e+00,1.981418211251921857e+00
4.599999999999999645e+00,1.995569066451444940e+00
4.700000000000000178e+00,2.009415578467127261e+00
4.799999999999999822e+00,2.022970563199845362e+00
4.900000000000000355e+00,2.036246043698338504e+00
5.000000000000000000e+00,2.049253314239431578e+00
5.099999999999999645e+00,2.062002998062375525e+00
5.200000000000000178e+00,2.074505099496794180e+00
5.299999999999999822e+00,2.086769051125121344e+00
5.400000000000000355e+00,2.098803756536526066e+00
5.500000000000000000e+00,2.110617629157760966e+00
5.599999999999999645e+00,2.122218627585148454e+00
5.700000000000000178e+00,2.133614287789323605e+00
5.799999999999999822e+00,2.144811752519122372e+00
5.900000000000000355e+00,2.155817798191935974e+00
