r,dp
1.000000000000000056e-01, -4.802066817315524538e-01
2.000000000000000111e-01, -3.435303176512216616e-02
2.999999999999999889e-01, 2.264546342748959828e-01
4.000000000000000222e-01, 4.115006182013083436e-01
5.000000000000000000e-01, 5.550334343335781018e-01
5.999999999999999778e-01, 6.723082842413264926e-01
6.999999999999999556e-01, 7.714627570190539796e-01
8.000000000000000444e-01, 8.573542681677387423e-01
9.000000000000000222e-01, 9.331159502813446416e-01
1.000000000000000000e+00, 1.000887084300008611e+00
1.100000000000000089e+00, 1.062193532247162953e+00
1.199999999999999956e+00, 1.118161934207756891e+00
1.300000000000000044e+00, 1.169647873082402478e+00
1.399999999999999911e+00, 1.217316406985484489e+00
1.500000000000000000e+00, 1.261694750340026872e+00
1.600000000000000089e+00, 1.303207918134169141e+00
1.699999999999999956e+00, 1.342203545142067522e+00
1.800000000000000044e+00, 1.378969600247775151e+00
1.899999999999999911e+00, 1.413747304930093041e+00
2.000000000000000000e+00, 1.446740734266439121e+00
2.100000000000000089e+00, 1.478124073025502749e+00
2.200000000000000178e+00, 1.508047182213593462e+00
2.299999999999999822e+00, 1.536639927225752267e+00
2.399999999999999911e+00, 1.564015584174187179e+00
2.500000000000000000e+00, 1.590273550398709101e+00
2.600000000000000089e+00, 1.615501523048832766e+00
2.700000000000000178e+00, 1.639777266287793189e+00
2.799999999999999822e+00, 1.663170056951914777e+00
2.899999999999999911e+00, 1.685741876413627383e+00
3.000000000000000000e+00, 1.707548400306457381e+00
3.100000000000000089e+00, 1.728639825904658478e+00
3.200000000000000178e+00, 1.749061568100599651e+00
3.299999999999999822e+00, 1.768854848253611500e+00
3.399999999999999911e+00, 1.788057195108498032e+00
3.500000000000000000e+00, 1.806702873084184979e+00
3.600000000000000089e+00, 1.824823250214205661e+00
3.700000000000000178e+00, 1.842447115664020307e+00
3.799999999999999822e+00, 1.859600954896523550e+00
3.899999999999999911e+00, 1.876309189088851026e+00
4.000000000000000000e+00, 1.892594384232869409e+00
4.099999999999999645e+00, 1.908477434412386042e+00
4.200000000000000178e+00, 1.923977722991933259e+00
4.299999999999999822e+00, 1.939113264836575201e+00
4.400000000000000355e+00, 1.953900832180023750e+00
4.500000000000000000e+00, 1.968356066346475419e+00
4.599999999999999645e+00, 1.982493577192182554e+00
4.700000000000000178e+00, 1.996327031851765632e+00
4.799999999999999822e+00, 2.009869234140618133e+00
4.900000000000000355e+00, 2.023132195769660857e+00
5.000000000000000000e+00, 2.036127200365139167e+00
5.099999999999999645e+00, 2.048864861148516070e+00
5.200000000000000178e+00, 2.061355173015263276e+00
5.299999999999999822e+00, 2.073607559652825394e+00
5.400000000000000355e+00, 2.085630916254223699e+00
5.500000000000000000e+00, 2.097433648312293730e+00
5.599999999999999645e+00, 2.109023706918345287e+00
5.700000000000000178e+00, 2.120408620936541588e+00
5.799999999999999822e+00, 2.131595526380057670e+00
5.900000000000000355e+00, 2.142591193276076833e+00
