r,dp
2.236067977499789805e+00,1.521809605319230929e+00
3.162277660168379523e+00,1.738389663756516157e+00
4.123105625617660586e+00,1.905362299996050890e+00
5.099019513592784492e+00,2.038962033502810023e+00
6.082762530298219339e+00,2.149456688860746034e+00
7.071067811865475505e+00,2.243112634436603248e+00
8.062257748298549132e+00,2.323864576958452055e+00
9.055385138137417300e+00,2.394269325422040406e+00
2.236067977499789805e+00,1.521809605319230929e+00
2.828427124746190291e+00,1.673078511848490546e+00
3.605551275463989125e+00,1.824347452485818089e+00
4.472135954999579610e+00,1.958670379359041203e+00
5.385164807134503739e+00,2.074816741589733393e+00
6.324555320336759046e+00,2.175262614376613612e+00
7.280109889280518054e+00,2.262759018054799842e+00
8.246211251235321171e+00,2.339555311494807555e+00
9.219544457292887074e+00,2.407339468875429489e+00
3.162277660168379523e+00,1.738389663756516157e+00
3.605551275463989125e+00,1.824347452485818089e+00
4.242640687119284770e+00,1.927251220871156523e+00
5.000000000000000000e+00,2.030154989256494957e+00
5.830951894845300743e+00,2.126371939120468735e+00
6.708203932499369415e+00,2.214018043109243550e+00
7.615773105863908654e+00,2.293105580127309917e+00
8.544003745317530374e+00,2.364258113874412537e+00
9.486832980505138124e+00,2.428197200529750521e+00
4.123105625617660586e+00,1.905362299996050890e+00
4.472135954999579610e+00,1.958670379359041203e+00
5.000000000000000000e+00,2.030154989256494957e+00
5.656854249492380582e+00,2.108326485891449664e+00
6.403124237432848531e+00,2.186497982526404371e+00
7.211102550927978250e+00,2.261332004704513565e+00
8.062257748298549132e+00,2.331387111362715370e+00
8.944271909999159220e+00,2.396174329237714673e+00
9.848857801796103928e+00,2.455632877752280674e+00
5.099019513592784492e+00,2.038962033502810023e+00
5.385164807134503739e+00,2.074816741589733393e+00
5.830951894845300743e+00,2.126371939120468735e+00
6.403124237432848531e+00,2.186497982526404371e+00
7.071067811865475505e+00,2.249961466281115818e+00
7.810249675906653977e+00,2.313424915927759784e+00
8.602325267042626677e+00,2.374936497273254954e+00
9.433981132056603158e+00,2.433419248069518481e+00
1.029563014098700080e+01,2.488299300071927345e+00
6.082762530298219339e+00,2.149456688860746034e+00
6.324555320336759046e+00,2.175262614376613612e+00
6.708203932499369415e+00,2.214018043109243550e+00
7.211102550927978250e+00,2.261332004704513565e+00
7.810249675906653977e+00,2.313424915927759784e+00
8.485281374238569541e+00,2.367469797776358575e+00
9.219544457292887074e+00,2.421514645516889441e+00
1.000000000000000000e+01,2.474266933911312805e+00
1.081665382639196871e+01,2.524877781362471207e+00
7.071067811865475505e+00,2.243112634436603248e+00
7.280109889280518054e+00,2.262759018054799842e+00
7.615773105863908654e+00,2.293105580127309917e+00
8.062257748298549132e+00,2.331387111362715370e+00
8.602325267042626677e+00,2.374936497273254954e+00
9.219544457292887074e+00,2.421514645516889441e+00
9.899494936611665352e+00,2.469385353106631431e+00
1.063014581273464998e+01,2.517256060696373865e+00
1.140175425099137918e+01,2.564172560974876891e+00
8.062257748298549132e+00,2.323864576958452055e+00
8.246211251235321171e+00,2.339555311494807555e+00
8.544003745317530374e+00,2.364258113874412537e+00
8.944271909999159220e+00,2.396174329237714673e+00
9.433981132056603158e+00,2.433419248069518481e+00
1.000000000000000000e+01,2.474266933911312805e+00
1.063014581273464998e+01,2.517256060696373865e+00
1.131370849898476116e+01,2.561199428900740482e+00
1.204159457879229578e+01,2.605142831213175469e+00
9.055385138137417300e+00,2.394269325422040406e+00
9.219544457292887074e+00,2.407339468875429489e+00
9.486832980505138124e+00,2.428197200529750521e+00
9.848857801796103928e+00,2.455632877752280674e+00
1.029563014098700080e+01,2.488299300071927345e+00
1.081665382639196871e+01,2.524877781362471207e+00
1.140175425099137918e+01,2.564172560974876891e+00
1.204159457879229578e+01,2.605142831213175469e+00
1.272792206135785520e+01,2.646893664588366057e+00
