r,dp
1.000000000000000056e-01,-4.716995788597064809e-01
2.000000000000000111e-01,-2.405170514761323375e-02
2.999999999999999889e-01,2.378055145015210980e-01
4.000000000000000222e-01,4.235961685644801245e-01
5.000000000000000000e-01,5.677065957289929576e-01
5.999999999999999778e-01,6.854533882136145673e-01
6.999999999999999556e-01,7.850068827545594319e-01
8.000000000000000444e-01,8.712440422765734827e-01
9.000000000000000222e-01,9.473106078627491211e-01
1.000000000000000000e+00,1.015354469441086316e+00
1.100000000000000089e+00,1.076907629475664985e+00
1.199999999999999956e+00,1.133101261925707925e+00
1.300000000000000044e+00,1.184794392765931459e+00
1.399999999999999911e+00,1.232654756466652790e+00
1.500000000000000000e+00,1.277211689090220759e+00
1.600000000000000089e+00,1.318891915988666952e+00
1.699999999999999956e+00,1.358044470903199574e+00
1.800000000000000044e+00,1.394958481574842590e+00
1.899999999999999911e+00,1.429876140216414404e+00
2.000000000000000000e+00,1.463002343153179563e+00
2.100000000000000089e+00,1.494511976115787455e+00
2.200000000000000178e+00,1.524555503187758454e+00
2.299999999999999822e+00,1.553263312374133065e+00
2.399999999999999911e+00,1.580749135637801395e+00
2.500000000000000000e+00,1.607112770317692618e+00
2.600000000000000089e+00,1.632442266478024706e+00
2.700000000000000178e+00,1.656815701223977033e+00
2.799999999999999822e+00,1.680302630178746259e+00
2.899999999999999911e+00,1.702965284142910374e+00
3.000000000000000000e+00,1.724859562802314228e+00
3.100000000000000089e+00,1.746035865437276291e+00
3.200000000000000178e+00,1.766539789700760199e+00
3.299999999999999822e+00,1.786412722836892897e+00
3.399999999999999911e+00,1.805692344615293043e+00
3.500000000000000000e+00,1.824413057343259092e+00
3.600000000000000089e+00,1.842606355286935838e+00
3.700000000000000178e+00,1.860301143466401408e+00
3.799999999999999822e+00,1.877524013928507873e+00
3.899999999999999911e+00,1.894299486127159149e+00
4.000000000000000000e+00,1.910650216865273032e+00
4.099999999999999645e+00,1.926597184309541966e+00
4.200000000000000178e+00,1.942159849827880702e+00
4.299999999999999822e+00,1.957356300781561531e+00
4.400000000000000355e+00,1.972203376899851701e+00
4.500000000000000000e+00,1.986716782451448671e+00
4.599999999999999645e+00,2.000911186086226756e+00
4.700000000000000178e+00,2.014800309938686418e+00
4.799999999999999822e+00,2.028397009349895086e+00
4.900000000000000355e+00,2.041713344368825567e+00
5.000000000000000000e+00,2.054760644029785865e+00
5.099999999999999645e+00,2.067549564264427708e+00
5.200000000000000178e+00,2.080090140190118397e+00
5.299999999999999822e+00,2.092391833417516889e+00
5.400000000000000355e+00,2.104463574936070280e+00
5.500000000000000000e+00,2.116313804064364312e+00
5.599999999999999645e+00,2.127950503890839506e+00
5.700000000000000178e+00,2.139381233577642316e+00
5.799999999999999822e+00,2.150613157855003621e+00
5.900000000000000355e+00,2.161653073994346919e+00
