r,dp
1.414213562373095145e+00,1.257735008647443919e+00
2.236067977499789805e+00,1.540831973305671454e+00
3.162277660168379523e+00,1.762534415507957419e+00
4.123105625617660586e+00,1.929663948860422806e+00
2.236067977499789805e+00,1.540831973305671454e+00
2.828427124746190291e+00,1.697729086248841668e+00
3.605551275463989125e+00,1.851215392388894543e+00
4.472135954999579610e+00,1.987647664513360724e+00
3.162277660168379523e+00,1.762534415507957419e+00
3.605551275463989125e+00,1.851215392388894543e+00
4.242640687119284770e+00,1.960361210088478856e+00
5.000000000000000000e+00,2.066096220984945830e+00
4.123105625617660586e+00,1.929663948860422806e+00
4.472135954999579610e+00,1.987647664513360724e+00
5.000000000000000000e+00,2.066096220984945830e+00
5.656854249492380582e+00,2.154777197865826111e+00
