   99.784  99.784  99.785  99.787  99.790  99.794  99.799  99.805  99.812  99.819  99.826  99.834  99.842  99.850  99.858        99.865  99.873  99.881  99.888  99.896  99.903  99.910  99.916  99.923  99.929  99.936  99.942  99.947  99.953  99.958     99.964  99.968  99.973  99.978  99.982  99.986  99.990  99.994  99.997 100.000 100.003 100.006 100.008 100.010 100.012     100.014 100.015 100.016 100.017 100.018 100.018 100.019 100.019
   99.799  99.799  99.799  99.801  99.804  99.807  99.812  99.817  99.823  99.829  99.836  99.843  99.850  99.858  99.865        99.872  99.879  99.887  99.894  99.901  99.908  99.914  99.921  99.927  99.934  99.940  99.945  99.951  99.957  99.962     99.967  99.972  99.976  99.981  99.985  99.989  99.993  99.997 100.000 100.003 100.006 100.009 100.011 100.013 100.015     100.017 100.018 100.020 100.021 100.021 100.022 100.022 100.022
   99.813  99.813  99.813  99.814  99.817  99.820  99.824  99.829  99.834  99.840  99.846  99.852  99.859  99.865  99.872        99.879  99.886  99.893  99.899  99.906  99.913  99.919  99.925  99.932  99.938  99.944  99.949  99.955  99.960  99.965     99.970  99.975  99.980  99.984  99.989  99.993  99.996 100.000 100.003 100.007 100.010 100.012 100.015 100.017 100.019     100.021 100.022 100.023 100.024 100.025 100.025 100.025 100.025
   99.825  99.825  99.826  99.827  99.829  99.832  99.835  99.840  99.844  99.849  99.855  99.861  99.867  99.873  99.879        99.886  99.892  99.899  99.905  99.912  99.918  99.924  99.930  99.936  99.942  99.948  99.953  99.959  99.964  99.969     99.974  99.979  99.984  99.988  99.992  99.996 100.000 100.004 100.007 100.010 100.013 100.016 100.018 100.021 100.022     100.024 100.026 100.027 100.028 100.028 100.029 100.029 100.029
   99.837  99.837  99.838  99.839  99.841  99.843  99.846  99.850  99.854  99.859  99.864  99.869  99.875  99.881  99.887        99.893  99.899  99.905  99.911  99.917  99.923  99.929  99.935  99.941  99.947  99.952  99.958  99.963  99.968  99.973     99.978  99.983  99.987  99.992  99.996 100.000 100.004 100.007 100.011 100.014 100.017 100.020 100.022 100.024 100.026     100.028 100.030 100.031 100.032 100.032 100.033 100.033 100.033
   99.848  99.849  99.849  99.850  99.851  99.854  99.857  99.860  99.864  99.868  99.873  99.878  99.883  99.888  99.894        99.899  99.905  99.911  99.917  99.923  99.929  99.934  99.940  99.946  99.951  99.957  99.962  99.967  99.972  99.977     99.982  99.987  99.991  99.996 100.000 100.004 100.008 100.011 100.015 100.018 100.021 100.024 100.026 100.029 100.031     100.032 100.034 100.035 100.036 100.037 100.037 100.037 100.037
   99.859  99.859  99.859  99.860  99.862  99.864  99.866  99.869  99.873  99.877  99.881  99.886  99.891  99.896  99.901        99.906  99.912  99.917  99.923  99.928  99.934  99.939  99.945  99.950  99.956  99.961  99.967  99.972  99.977  99.982     99.986  99.991  99.996 100.000 100.004 100.008 100.012 100.016 100.019 100.022 100.025 100.028 100.031 100.033 100.035     100.037 100.038 100.040 100.041 100.041 100.042 100.042 100.042
   99.869  99.869  99.869  99.870  99.871  99.873  99.875  99.878  99.882  99.885  99.889  99.893  99.898  99.903  99.908        99.913  99.918  99.923  99.929  99.934  99.939  99.945  99.950  99.955  99.961  99.966  99.971  99.976  99.981  99.986     99.991  99.995 100.000 100.004 100.009 100.013 100.016 100.020 100.024 100.027 100.030 100.033 100.035 100.038 100.040     100.042 100.043 100.044 100.045 100.046 100.047 100.047 100.047
   99.878  99.878  99.878  99.879  99.880  99.882  99.884  99.887  99.890  99.893  99.897  99.901  99.905  99.910  99.914        99.919  99.924  99.929  99.934  99.939  99.945  99.950  99.955  99.960  99.966  99.971  99.976  99.981  99.986  99.991     99.995 100.000 100.004 100.009 100.013 100.017 100.021 100.025 100.028 100.032 100.035 100.038 100.040 100.043 100.045     100.047 100.048 100.049 100.051 100.051 100.052 100.052 100.052
   99.887  99.887  99.887  99.888  99.889  99.891  99.893  99.895  99.898  99.901  99.904  99.908  99.912  99.916  99.921        99.925  99.930  99.935  99.940  99.945  99.950  99.955  99.960  99.965  99.970  99.976  99.981  99.986  99.990  99.995    100.000 100.005 100.009 100.014 100.018 100.022 100.026 100.030 100.033 100.037 100.040 100.043 100.045 100.048 100.050     100.052 100.054 100.055 100.056 100.057 100.057 100.057 100.057
   99.895  99.895  99.895  99.896  99.897  99.899  99.901  99.903  99.905  99.908  99.912  99.915  99.919  99.923  99.927        99.932  99.936  99.941  99.946  99.950  99.955  99.960  99.965  99.970  99.975  99.980  99.985  99.990  99.995 100.000    100.005 100.009 100.014 100.018 100.023 100.027 100.031 100.035 100.038 100.042 100.045 100.048 100.051 100.053 100.055     100.057 100.059 100.061 100.062 100.062 100.063 100.063 100.063
   99.903  99.903  99.903  99.904  99.905  99.906  99.908  99.910  99.913  99.916  99.919  99.922  99.926  99.929  99.933        99.938  99.942  99.947  99.951  99.956  99.961  99.966  99.970  99.975  99.980  99.985  99.990  99.995 100.000 100.005    100.010 100.014 100.019 100.023 100.028 100.032 100.036 100.040 100.043 100.047 100.050 100.053 100.056 100.059 100.061     100.063 100.065 100.066 100.068 100.068 100.069 100.069 100.069
   99.911  99.911  99.911  99.911  99.912  99.914  99.915  99.917  99.920  99.922  99.925  99.928  99.932  99.936  99.939        99.944  99.948  99.952  99.957  99.961  99.966  99.971  99.976  99.980  99.985  99.990  99.995 100.000 100.005 100.010    100.014 100.019 100.024 100.028 100.033 100.037 100.041 100.045 100.049 100.053 100.056 100.059 100.062 100.065 100.067     100.069 100.071 100.073 100.074 100.075 100.075 100.075 100.075
   99.918  99.918  99.918  99.918  99.919  99.921  99.922  99.924  99.926  99.929  99.932  99.935  99.938  99.942  99.945        99.949  99.953  99.958  99.962  99.966  99.971  99.976  99.981  99.985  99.990  99.995 100.000 100.005 100.010 100.015    100.019 100.024 100.029 100.033 100.038 100.042 100.047 100.051 100.055 100.058 100.062 100.065 100.068 100.071 100.074     100.076 100.078 100.079 100.081 100.082 100.082 100.082 100.082
   99.924  99.924  99.925  99.925  99.926  99.927  99.929  99.931  99.933  99.935  99.938  99.941  99.944  99.947  99.951        99.955  99.959  99.963  99.967  99.972  99.976  99.981  99.986  99.990  99.995 100.000 100.005 100.010 100.015 100.020    100.024 100.029 100.034 100.039 100.043 100.048 100.052 100.056 100.060 100.064 100.068 100.071 100.075 100.078 100.080     100.083 100.085 100.086 100.088 100.089 100.089 100.089 100.089
   99.931  99.931  99.931  99.931  99.932  99.933  99.935  99.937  99.939  99.941  99.944  99.947  99.950  99.953  99.956        99.960  99.964  99.968  99.972  99.977  99.981  99.986  99.990  99.995 100.000 100.005 100.010 100.015 100.020 100.025    100.029 100.034 100.039 100.044 100.049 100.053 100.058 100.062 100.066 100.071 100.074 100.078 100.081 100.084 100.087     100.090 100.092 100.094 100.095 100.096 100.097 100.097 100.097
   99.937  99.937  99.937  99.938  99.938  99.939  99.941  99.943  99.944  99.947  99.949  99.952  99.955  99.958  99.962        99.965  99.969  99.973  99.977  99.982  99.986  99.991  99.995 100.000 100.005 100.010 100.015 100.020 100.025 100.030    100.035 100.040 100.045 100.049 100.054 100.059 100.064 100.068 100.073 100.077 100.081 100.085 100.088 100.092 100.094     100.097 100.099 100.101 100.103 100.104 100.104 100.105 100.105
   99.943  99.943  99.943  99.943  99.944  99.945  99.946  99.948  99.950  99.952  99.955  99.957  99.960  99.963  99.967        99.970  99.974  99.978  99.982  99.986  99.991  99.995 100.000 100.005 100.010 100.014 100.019 100.024 100.029 100.035    100.040 100.045 100.050 100.055 100.060 100.065 100.070 100.074 100.079 100.083 100.088 100.092 100.095 100.099 100.102     100.105 100.107 100.109 100.111 100.112 100.113 100.113 100.113
   99.948  99.948  99.948  99.949  99.949  99.950  99.952  99.953  99.955  99.957  99.960  99.962  99.965  99.968  99.972        99.975  99.979  99.983  99.987  99.991  99.995 100.000 100.005 100.009 100.014 100.019 100.024 100.029 100.034 100.040    100.045 100.050 100.055 100.060 100.066 100.071 100.076 100.081 100.086 100.090 100.095 100.099 100.103 100.107 100.110     100.113 100.116 100.118 100.120 100.121 100.122 100.122 100.122
   99.953  99.953  99.953  99.954  99.955  99.956  99.957  99.958  99.960  99.962  99.965  99.967  99.970  99.973  99.976        99.980  99.984  99.987  99.991  99.996 100.000 100.004 100.009 100.014 100.019 100.024 100.029 100.034 100.039 100.045    100.050 100.055 100.061 100.066 100.071 100.077 100.082 100.087 100.092 100.097 100.102 100.106 100.111 100.115 100.118     100.122 100.124 100.127 100.129 100.130 100.131 100.131 100.131
   99.958  99.958  99.958  99.959  99.959  99.960  99.962  99.963  99.965  99.967  99.969  99.972  99.975  99.978  99.981        99.984  99.988  99.992  99.996 100.000 100.004 100.009 100.013 100.018 100.023 100.028 100.033 100.039 100.044 100.049    100.055 100.060 100.066 100.072 100.077 100.083 100.088 100.094 100.099 100.104 100.109 100.114 100.119 100.123 100.127     100.131 100.134 100.136 100.138 100.140 100.141 100.141 100.141
   99.963  99.963  99.963  99.963  99.964  99.965  99.966  99.968  99.969  99.971  99.974  99.976  99.979  99.982  99.985        99.989  99.992  99.996 100.000 100.004 100.009 100.013 100.018 100.023 100.028 100.033 100.038 100.043 100.049 100.054    100.060 100.066 100.071 100.077 100.083 100.089 100.095 100.100 100.106 100.112 100.117 100.122 100.127 100.132 100.136     100.140 100.143 100.146 100.149 100.150 100.151 100.151 100.151
   99.967  99.967  99.967  99.968  99.968  99.969  99.970  99.972  99.974  99.976  99.978  99.980  99.983  99.986  99.989        99.993  99.996 100.000 100.004 100.008 100.013 100.017 100.022 100.027 100.032 100.037 100.042 100.048 100.053 100.059    100.065 100.071 100.077 100.083 100.089 100.095 100.101 100.107 100.113 100.119 100.125 100.131 100.136 100.141 100.146     100.150 100.154 100.157 100.159 100.161 100.162 100.163 100.163
   99.971  99.971  99.971  99.972  99.972  99.973  99.974  99.976  99.978  99.979  99.982  99.984  99.987  99.990  99.993        99.996 100.000 100.004 100.008 100.012 100.016 100.021 100.026 100.031 100.036 100.041 100.047 100.052 100.058 100.064    100.070 100.076 100.082 100.088 100.095 100.101 100.108 100.114 100.121 100.127 100.133 100.139 100.145 100.150 100.156     100.160 100.164 100.168 100.171 100.173 100.174 100.174 100.175
