97.507 99.339 99.624 99.751 99.826 99.879 99.918 99.949 99.971 99.988 99.997 100.000 100.000
99.339 99.411 99.626 99.752 99.826 99.879 99.918 99.949 99.972 99.988 99.997 100.000 100.000
99.624 99.626 99.687 99.771 99.835 99.884 99.922 99.951 99.974 99.990 100.000 100.002 100.002
99.752 99.752 99.771 99.816 99.861 99.901 99.934 99.962 99.984 100.000 100.010 100.012 100.012
99.827 99.827 99.835 99.861 99.893 99.924 99.953 99.979 100.000 100.016 100.026 100.028 100.028
99.879 99.879 99.884 99.901 99.924 99.950 99.976 100.000 100.021 100.038 100.048 100.051 100.051
99.919 99.919 99.922 99.935 99.953 99.976 100.000 100.024 100.046 100.065 100.078 100.082 100.082
99.949 99.949 99.952 99.963 99.979 100.000 100.024 100.050 100.076 100.099 100.116 100.121 100.121
99.972 99.972 99.975 99.985 100.000 100.021 100.046 100.075 100.107 100.139 100.165 100.174 100.174
99.989 99.989 99.991 100.001 100.016 100.038 100.065 100.099 100.139 100.184 100.229 100.248 100.249
99.999 99.999 100.001 100.010 100.026 100.048 100.078 100.116 100.165 100.229 100.313 100.375 100.376
100.001 100.001 100.004 100.013 100.028 100.051 100.081 100.120 100.173 100.248 100.375 100.589 100.661
100.001 100.001 100.004 100.013 100.028 100.051 100.081 100.120 100.173 100.249 100.376 100.662 102.494
