69.646  74.532  77.487  79.533  81.082  82.325  83.361  84.249  85.027  85.718  86.340  86.905  87.424  87.902  88.346
74.532  76.464  78.395  80.031  81.389  82.531  83.509  84.360  85.113  85.787  86.397  86.953  87.464  87.936  88.376
77.487  78.395  79.600  80.805  81.912  82.901  83.782  84.570  85.278  85.921  86.507  87.045  87.542  88.004  88.434
79.533  80.031  80.805  81.678  82.551  83.380  84.150  84.859  85.510  86.110  86.664  87.178  87.656  88.102  88.520
81.082  81.389  81.912  82.551  83.235  83.918  84.578  85.205  85.794  86.346  86.863  87.347  87.801  88.228  88.631
82.325  82.531  82.901  83.380  83.918  84.479  85.040  85.588  86.114  86.617  87.093  87.545  87.973  88.379  88.764
83.361  83.509  83.782  84.150  84.578  85.040  85.516  85.992  86.459  86.913  87.349  87.768  88.168  88.551  88.916
84.249  84.360  84.570  84.859  85.205  85.588  85.992  86.405  86.818  87.226  87.623  88.008  88.381  88.739  89.084
85.027  85.113  85.279  85.510  85.794  86.114  86.459  86.818  87.183  87.548  87.909  88.262  88.607  88.942  89.266
85.718  85.787  85.921  86.110  86.346  86.617  86.913  87.226  87.548  87.875  88.201  88.525  88.843  89.155  89.459
86.340  86.397  86.507  86.664  86.863  87.093  87.349  87.623  87.909  88.201  88.497  88.793  89.086  89.376  89.660
86.905  86.953  87.045  87.178  87.347  87.545  87.768  88.008  88.262  88.525  88.793  89.063  89.333  89.602  89.867
87.424  87.464  87.542  87.656  87.801  87.973  88.168  88.381  88.607  88.843  89.086  89.333  89.582  89.831  90.078
87.902  87.936  88.004  88.102  88.228  88.379  88.551  88.740  88.942  89.155  89.376  89.602  89.831  90.061  90.292
88.346  88.376  88.435  88.520  88.631  88.764  88.916  89.084  89.266  89.459  89.660  89.867  90.078  90.292  90.507
