98.672  98.679  98.692  98.712  98.738  98.771  98.809  98.854  98.903  98.958  99.018  99.083  99.152  99.225  99.303 99.383  99.467  99.554  99.643  99.734  99.827  99.921 100.014 100.107 100.197 100.284 100.364 100.437 100.499 100.548 100.583 100.600
98.736  98.742  98.755  98.775  98.800  98.832  98.870  98.914  98.964  99.018  99.078  99.143  99.213  99.287  99.366 99.449  99.535  99.625  99.719  99.815  99.914 100.014 100.116 100.218 100.318 100.415 100.507 100.591 100.664 100.722 100.764 100.785
98.792  98.799  98.812  98.831  98.856  98.888  98.926  98.969  99.018  99.073  99.133  99.199  99.269  99.345  99.425 99.510  99.600  99.694  99.791  99.893  99.998 100.107 100.218 100.330 100.442 100.552 100.658 100.756 100.843 100.914 100.964 100.991
98.843  98.849  98.862  98.881  98.906  98.938  98.975  99.018  99.068  99.123  99.183  99.249  99.321  99.398  99.480 99.567  99.660  99.758  99.860  99.968 100.080 100.197 100.318 100.442 100.567 100.693 100.816 100.933 101.038 101.126 101.189 101.223
98.887  98.893  98.906  98.925  98.950  98.981  99.018  99.062  99.111  99.166  99.228  99.294  99.367  99.445  99.529 99.619  99.715  99.817  99.924 100.038 100.158 100.283 100.415 100.552 100.693 100.837 100.981 101.121 101.250 101.361 101.444 101.489
98.925  98.931  98.943  98.962  98.987  99.019  99.056  99.099  99.149  99.204  99.266  99.334  99.407  99.487  99.573 99.665  99.764  99.870  99.982 100.102 100.229 100.364 100.507 100.658 100.816 100.981 101.150 101.319 101.481 101.626 101.737 101.799
98.956  98.962  98.975  98.994  99.019  99.050  99.087  99.131  99.181  99.237  99.299  99.367  99.442  99.523  99.611 99.705  99.807  99.916 100.033 100.158 100.292 100.436 100.590 100.756 100.933 101.121 101.319 101.525 101.730 101.922 102.080 102.172
98.981  98.987  99.000  99.019  99.044  99.075  99.112  99.156  99.206  99.262  99.325  99.394  99.470  99.552  99.641 99.738  99.842  99.954 100.075 100.205 100.346 100.498 100.663 100.842 101.038 101.250 101.481 101.730 101.992 102.254 102.487 102.636
99.000  99.006  99.019  99.037  99.062  99.094  99.131  99.175  99.225  99.282  99.345  99.414  99.491  99.574  99.665 99.763  99.869  99.984 100.108 100.242 100.388 100.548 100.722 100.913 101.125 101.361 101.625 101.922 102.254 102.616 102.977 103.250
99.012  99.019  99.031  99.050  99.075  99.106  99.144  99.188  99.238  99.295  99.358  99.428  99.505  99.589  99.680 99.779  99.887 100.004 100.130 100.268 100.418 100.582 100.763 100.964 101.189 101.444 101.737 102.079 102.487 102.977 103.557 104.136
99.019  99.025  99.037  99.056  99.081  99.113  99.150  99.194  99.245  99.301  99.365  99.435  99.512  99.596  99.688 99.788  99.896 100.014 100.142 100.281 100.433 100.600 100.784 100.990 101.222 101.488 101.799 102.172 102.636 103.250 104.136 105.602
